,Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
419,Drama,Movie,In Darkness,2013,5.0,tt1417075
420,Drama,Movie,Tumar Khabar,2011,10.0,tt14182648
421,Drama,Movie,Land of Nod,2011,2.0,tt14191150
422,Drama,Movie,Kardelen,2011,2.0,tt1420553
423,Drama,Movie,Headlock,2011,10.0,tt1420547
424,Drama,Movie,Apon Shatru,2011,1.0,tt14230734
425,Drama,Movie,Agnisakshi,2011,1.0,tt14230748
426,Drama,Movie,Superstar - A Love Story,2011,,tt14230956
427,Drama,Movie,Bangla Bachao,2011,1.0,tt14230790
428,Drama,Movie,Piriti Kathaler Aatha,2011,2.0,tt14230858
429,Drama,Movie,Ekdin Thik,2011,3.0,tt14231026
430,Drama,Movie,Ohh My Love,2011,2.0,tt14230836
431,Drama,Movie,Run,2011,4.0,tt14231244
432,Drama,Movie,Love Birds - The Symbol of Love,2011,4.0,tt14231268
433,Drama,Movie,Cholte Cholte,2011,4.0,tt14231328
434,Drama,Movie,Aami Adu,2011,2.0,tt14230918
435,Drama,Movie,Tupi Diye Topor,2011,2.0,tt14230884
436,Drama,Movie,Punorutthan,2011,3.0,tt14231008
437,Drama,Movie,Ogo Bideshini,2011,5.0,tt14231706
438,Drama,Movie,Jibon Rong Berong,2011,4.0,tt14231296
439,Drama,Movie,Tiger Number One,2011,8.0,tt14232454
440,Drama,Movie,Duti Mon,2011,4.0,tt14231578
441,Drama,Movie,Ei Aranya,2011,3.0,tt14231118
